id,tipo,ano_registo,caixa,potencia,km,combustivel,marca,com_danos
19602,limousine,2001,manual,125,151000,gasolina,audi,nao
27229,compacto,2001,manual,50,150000,gasolina,volkswagen,sim
71855,kombi,2013,manual,120,50800,gasolina,peugeot,nao
59106,carrinha,2004,manual,102,150100,diesel,outra,nao
97575,compacto,2002,manual,58,150700,gasolina,renault,nao
27192,kombi,2006,manual,90,150400,diesel,outra,nao
94997,suv,2005,automatica,140,150000,diesel,outra,nao
13978,limousine,2001,manual,60,151000,diesel,mercedes_benz,nao
42836,compacto,2002,manual,105,150300,gasolina,outra,nao
60711,kombi,2000,automatica,150,150300,gasolina,bmw,nao
90360,compacto,2007,manual,75,125900,gasolina,renault,sim
11704,carrinha,2008,manual,131,150400,diesel,volkswagen,nao
94494,compacto,2003,manual,90,150100,gasolina,opel,nao
51701,carrinha,2005,manual,110,150800,gasolina,outra,nao
4173,compacto,2002,manual,54,125400,gasolina,fiat,nao
88536,compacto,2001,manual,60,125900,gasolina,outra,nao
15114,carrinha,2001,manual,100,150800,gasolina,opel,nao
55211,kombi,2012,manual,140,60200,diesel,audi,nao
98876,compacto,2003,manual,68,151000,gasolina,outra,nao
6355,cabrio,2008,manual,170,71000,gasolina,outra,nao
89441,limousine,2007,manual,150,150100,diesel,outra,nao
21219,limousine,2005,manual,136,150000,diesel,peugeot,nao
97225,compacto,2002,manual,50,150900,gasolina,outra,sim
56488,limousine,2003,manual,130,150900,diesel,ford,sim
17539,limousine,2011,manual,122,60600,gasolina,bmw,nao
8919,kombi,2008,manual,140,150700,diesel,volkswagen,nao
30882,limousine,2005,manual,75,150500,gasolina,volkswagen,nao
44297,limousine,2007,automatica,140,151000,diesel,volkswagen,nao
87122,carrinha,2010,manual,105,125400,diesel,volkswagen,nao
54683,compacto,2002,manual,60,150600,gasolina,ford,nao
71165,limousine,2006,automatica,163,150200,diesel,bmw,nao
79467,kombi,2002,manual,149,150900,diesel,ford,nao
357,compacto,2000,manual,50,151000,gasolina,outra,nao
88445,cabrio,2003,manual,179,150600,gasolina,audi,nao
45201,kombi,2004,manual,97,80100,gasolina,outra,nao
99530,kombi,2001,manual,170,150300,gasolina,outra,nao
124,kombi,2008,manual,90,150900,diesel,ford,nao
48775,kombi,2008,automatica,163,150600,diesel,bmw,nao
32943,cabrio,2005,manual,90,125800,gasolina,outra,nao
6388,limousine,2010,automatica,110,150400,diesel,ford,nao
42029,kombi,2007,manual,150,151000,gasolina,bmw,nao
80467,kombi,2012,manual,140,125500,diesel,volkswagen,nao
26779,outro,2015,manual,140,30300,diesel,outra,nao
72867,compacto,2007,manual,58,150900,gasolina,renault,nao
18173,limousine,2006,automatica,200,150400,gasolina,volkswagen,sim
165,limousine,2002,manual,105,150200,gasolina,outra,nao
54818,kombi,2009,automatica,170,150900,diesel,mercedes_benz,nao
82234,compacto,2007,manual,80,150700,gasolina,opel,nao
67460,compacto,2007,manual,68,125700,gasolina,outra,nao
37387,limousine,2012,manual,105,60400,gasolina,outra,nao
37190,compacto,2003,manual,75,150300,gasolina,renault,nao
3089,compacto,2010,manual,97,60300,gasolina,ford,nao
12364,carrinha,2001,manual,114,80600,gasolina,renault,nao
23686,compacto,2009,manual,101,125000,diesel,volkswagen,nao
18318,limousine,2007,manual,200,60000,gasolina,volkswagen,nao
72546,compacto,2007,manual,69,125200,gasolina,ford,nao
20544,suv,2008,manual,136,100600,gasolina,outra,nao
76180,kombi,2006,automatica,224,150800,diesel,audi,nao
97445,limousine,2003,manual,98,150700,gasolina,outra,nao
46672,kombi,2007,automatica,231,150200,diesel,bmw,nao
90271,kombi,2009,manual,105,150800,diesel,outra,nao
64562,limousine,2003,manual,103,125600,gasolina,fiat,nao
88464,limousine,2015,manual,110,51000,diesel,opel,nao
3145,limousine,2002,manual,143,150000,gasolina,bmw,nao
93345,kombi,2006,manual,76,150700,gasolina,outra,nao
55997,compacto,2003,automatica,53,60000,gasolina,outra,nao
89230,kombi,2008,manual,136,150900,diesel,ford,nao
73332,kombi,2009,manual,105,150500,diesel,volkswagen,nao
26644,limousine,2005,manual,122,70400,outro,outra,nao
90720,kombi,2012,automatica,170,150200,diesel,audi,nao
46411,carrinha,2009,automatica,173,101000,diesel,renault,nao
19035,compacto,2003,manual,58,150700,gasolina,renault,nao
29934,coupe,2000,manual,246,150000,gasolina,mercedes_benz,nao
61568,kombi,2007,manual,101,150000,gasolina,outra,nao
13456,carrinha,2009,manual,170,150000,diesel,outra,nao
46870,limousine,2012,manual,105,70100,gasolina,volkswagen,nao
75143,kombi,2009,automatica,170,150800,diesel,volkswagen,nao
96780,limousine,2012,manual,122,40900,gasolina,volkswagen,nao
58543,coupe,2005,manual,180,150900,gasolina,audi,sim
64721,carrinha,2005,manual,101,150400,outro,opel,sim
54385,limousine,2011,automatica,179,60200,gasolina,audi,nao
83422,kombi,2009,manual,78,125700,gasolina,peugeot,nao
75827,limousine,2011,automatica,156,60700,gasolina,mercedes_benz,nao
67593,limousine,2010,manual,80,126000,gasolina,volkswagen,nao
48256,compacto,2006,manual,69,100600,gasolina,ford,nao
339,kombi,2003,manual,116,150200,diesel,ford,nao
42700,compacto,2010,manual,81,125500,gasolina,outra,nao
38985,compacto,2002,manual,58,150600,gasolina,opel,nao
65342,cabrio,2010,manual,174,60900,gasolina,outra,nao
79065,kombi,2002,automatica,150,150800,diesel,opel,sim
39184,kombi,2000,manual,150,125100,gasolina,outra,nao
75329,compacto,2008,manual,86,90600,gasolina,volkswagen,nao
66812,cabrio,2012,manual,120,40100,gasolina,peugeot,nao
88593,limousine,2007,manual,82,150400,diesel,outra,nao
55508,limousine,2001,automatica,101,125600,gasolina,volkswagen,nao
86624,coupe,2008,manual,120,150900,diesel,opel,nao
986,cabrio,2004,manual,170,150700,gasolina,audi,sim
49405,carrinha,2005,automatica,136,150500,gasolina,peugeot,nao
16573,carrinha,2010,manual,131,150200,diesel,renault,nao
30534,compacto,2003,manual,60,150900,gasolina,volkswagen,nao
82815,kombi,2007,manual,109,150800,diesel,ford,nao
93810,limousine,2012,automatica,160,150000,diesel,opel,nao
98307,compacto,2011,manual,54,100200,gasolina,volkswagen,nao
44277,limousine,2003,manual,146,150700,gasolina,ford,nao
43707,limousine,2005,automatica,177,150500,diesel,bmw,sim
78367,kombi,2008,manual,197,150600,diesel,bmw,nao
23136,compacto,2009,automatica,71,80100,gasolina,outra,nao
35563,limousine,2004,automatica,141,80800,diesel,ford,nao
48952,limousine,2011,manual,116,90000,gasolina,opel,nao
17897,compacto,2002,automatica,86,90100,gasolina,outra,nao
37406,compacto,2004,manual,58,150300,gasolina,opel,nao
33764,compacto,2004,manual,75,125100,gasolina,renault,sim
98714,limousine,2000,manual,101,150200,gasolina,ford,nao
57125,carrinha,2007,manual,150,150400,gasolina,opel,nao
8898,kombi,2010,manual,178,125800,diesel,renault,nao
2220,compacto,2005,manual,58,126000,gasolina,renault,nao
5528,cabrio,2004,manual,163,151000,gasolina,audi,nao
97910,limousine,2014,automatica,141,40300,gasolina,outra,nao
48767,compacto,2013,manual,75,80900,diesel,outra,nao
29443,cabrio,2003,manual,150,150500,gasolina,outra,nao
9784,limousine,2008,automatica,177,90100,diesel,bmw,nao
52811,limousine,2010,manual,80,100100,gasolina,volkswagen,nao
19977,kombi,2003,manual,179,150500,diesel,audi,nao
21385,compacto,2009,manual,90,125200,gasolina,opel,nao
16160,compacto,2004,manual,75,125800,gasolina,renault,nao
17547,coupe,2001,automatica,54,100000,gasolina,outra,nao
24895,compacto,2005,manual,60,151000,gasolina,ford,nao
49866,compacto,2004,manual,64,125700,gasolina,volkswagen,nao
99246,compacto,2004,manual,50,125200,gasolina,outra,nao
23670,compacto,2002,manual,75,150400,gasolina,opel,nao
26433,suv,2005,manual,145,150500,gasolina,outra,nao
78608,limousine,2003,manual,75,150500,diesel,audi,nao
39555,limousine,2000,manual,170,150300,gasolina,bmw,nao
15220,limousine,2010,manual,131,150800,diesel,opel,nao
72930,kombi,2004,manual,143,150100,gasolina,bmw,nao
44723,compacto,2009,manual,68,50100,gasolina,peugeot,nao
82735,compacto,2003,manual,60,90400,gasolina,ford,nao
210,compacto,2007,manual,60,150800,gasolina,opel,nao
19889,kombi,2011,manual,140,150900,diesel,outra,nao
35527,limousine,2006,automatica,177,150600,diesel,mercedes_benz,sim
82442,carrinha,2010,manual,109,90300,outro,volkswagen,nao
7361,limousine,2009,manual,108,150600,diesel,mercedes_benz,sim
31730,suv,2004,automatica,190,150600,gasolina,outra,nao
47888,compacto,2008,manual,75,150500,gasolina,renault,nao
92281,kombi,2007,manual,136,151000,diesel,outra,nao
77089,coupe,2004,manual,116,150000,gasolina,bmw,nao
60091,compacto,2003,manual,58,150800,gasolina,renault,nao
21611,kombi,2002,automatica,101,150100,diesel,volkswagen,nao
17261,cabrio,2012,manual,143,90600,diesel,outra,nao
17877,limousine,2009,manual,156,125100,gasolina,mercedes_benz,nao
84385,compacto,2002,manual,75,150900,gasolina,volkswagen,nao
59538,kombi,2015,manual,140,40400,gasolina,opel,nao
31891,kombi,2010,manual,160,150100,diesel,opel,nao
37372,compacto,2015,manual,90,80500,gasolina,outra,nao
31246,suv,2006,manual,86,125000,gasolina,outra,nao
11715,compacto,2001,manual,60,151000,gasolina,volkswagen,sim
73052,compacto,2001,manual,54,150100,gasolina,opel,nao
34928,suv,2011,manual,147,150600,diesel,outra,nao
97375,kombi,2005,manual,75,125100,gasolina,outra,nao
4742,kombi,2002,manual,131,150900,diesel,audi,nao
28106,kombi,2001,automatica,105,150200,gasolina,ford,sim
23455,carrinha,2007,manual,77,150900,diesel,fiat,nao
66370,limousine,2007,automatica,218,150000,diesel,bmw,sim
77127,limousine,2002,manual,115,90100,gasolina,outra,nao
88184,compacto,2002,manual,58,100500,gasolina,outra,nao
97839,compacto,2006,manual,54,125500,gasolina,volkswagen,nao
91020,carrinha,2004,manual,101,150300,gasolina,opel,nao
92204,cabrio,2011,manual,120,40400,gasolina,peugeot,nao
55369,coupe,2007,manual,200,150800,gasolina,audi,nao
36278,limousine,2008,manual,105,150200,diesel,volkswagen,sim
75455,compacto,2000,manual,55,150200,gasolina,volkswagen,nao
98922,compacto,2003,manual,60,90600,gasolina,peugeot,nao
10998,limousine,2002,automatica,150,150000,diesel,audi,nao
70197,compacto,2012,manual,88,125000,diesel,outra,nao
9526,compacto,2006,automatica,95,150100,gasolina,mercedes_benz,nao
96721,compacto,2001,manual,60,150100,gasolina,outra,nao
84807,limousine,2006,automatica,150,150800,diesel,mercedes_benz,nao
60937,limousine,2010,manual,163,150300,diesel,bmw,nao
68827,limousine,2003,manual,207,150200,gasolina,outra,nao
69890,limousine,2004,manual,116,150200,diesel,mercedes_benz,nao
56977,kombi,2003,automatica,138,150000,gasolina,audi,nao
91954,kombi,2007,manual,75,80000,gasolina,renault,nao
27502,compacto,2009,manual,87,100100,gasolina,outra,nao
66600,limousine,2001,manual,75,150100,gasolina,volkswagen,nao
18764,carrinha,2002,manual,90,150800,diesel,renault,nao
55830,carrinha,2002,manual,75,70400,diesel,ford,nao
65358,kombi,2002,manual,131,150000,diesel,volkswagen,nao
66128,compacto,2005,manual,75,150300,gasolina,outra,nao
95977,carrinha,2005,manual,131,150700,diesel,volkswagen,nao
7879,cabrio,2003,manual,143,125300,gasolina,bmw,nao
19230,limousine,2001,manual,155,150400,gasolina,outra,sim
8901,cabrio,2007,manual,109,100900,gasolina,outra,nao
10076,cabrio,2006,manual,101,125200,diesel,volkswagen,nao
73587,kombi,2013,manual,100,126000,diesel,ford,nao
49542,limousine,2010,manual,160,80800,gasolina,volkswagen,nao
83638,limousine,2000,automatica,110,150100,diesel,audi,nao
71993,kombi,2012,manual,170,150800,diesel,audi,nao
8335,carrinha,2008,manual,94,150300,outro,opel,nao
64305,coupe,2001,manual,170,150500,gasolina,bmw,nao
21422,limousine,2000,manual,118,150200,gasolina,bmw,nao
76161,carrinha,2008,automatica,174,150500,diesel,volkswagen,nao
1352,compacto,2003,manual,58,150000,gasolina,opel,nao
92913,limousine,2011,manual,177,125200,diesel,bmw,nao
45774,limousine,2011,manual,140,101000,diesel,audi,nao
73676,compacto,2010,manual,60,40900,gasolina,fiat,nao
37695,compacto,2010,automatica,71,60500,gasolina,outra,nao
67411,limousine,2006,automatica,116,125400,gasolina,mercedes_benz,nao
3387,compacto,2010,manual,76,60300,gasolina,renault,nao
65726,compacto,2000,manual,75,150500,gasolina,peugeot,sim
63302,kombi,2012,manual,122,70500,gasolina,volkswagen,nao
39612,limousine,2011,manual,143,150200,diesel,bmw,nao
82713,compacto,2004,manual,60,150300,gasolina,fiat,nao
31347,suv,2003,manual,133,150300,diesel,outra,nao
43550,limousine,2003,manual,163,151000,diesel,bmw,nao
98034,limousine,2006,manual,73,150300,gasolina,peugeot,nao
98181,carrinha,2007,manual,95,90700,gasolina,mercedes_benz,nao
26115,limousine,2009,manual,105,90900,diesel,volkswagen,nao
53224,compacto,2002,manual,95,150700,diesel,mercedes_benz,sim
4023,limousine,2009,automatica,177,150500,diesel,bmw,nao
43344,compacto,2009,manual,60,80500,gasolina,outra,nao
21698,suv,2005,automatica,174,150400,diesel,volkswagen,nao
58628,limousine,2007,automatica,224,150100,diesel,volkswagen,nao
22072,carrinha,2008,manual,95,150700,diesel,mercedes_benz,nao
60677,compacto,2004,automatica,80,100400,gasolina,outra,nao
93478,limousine,2008,manual,143,125700,gasolina,bmw,nao
44992,compacto,2002,manual,50,70200,gasolina,volkswagen,nao
63165,kombi,2006,manual,178,150500,diesel,audi,sim
50425,kombi,2000,automatica,150,150800,diesel,audi,nao
48236,compacto,2006,automatica,177,150600,gasolina,outra,nao
47663,suv,2006,automatica,165,151000,gasolina,outra,nao
66532,carrinha,2007,manual,150,150700,diesel,opel,nao
17420,limousine,2006,automatica,224,150000,diesel,audi,nao
76512,carrinha,2004,manual,101,100100,gasolina,opel,nao
1244,kombi,2012,automatica,200,50000,gasolina,outra,nao
47132,compacto,2012,manual,98,60100,gasolina,outra,nao
72096,kombi,2005,automatica,245,125900,gasolina,outra,nao
19395,carrinha,2004,manual,101,80100,gasolina,opel,nao
25474,compacto,2004,manual,131,150000,diesel,outra,nao
44503,compacto,2004,manual,174,150200,gasolina,outra,nao
10970,cabrio,2007,manual,150,150800,gasolina,opel,nao
33094,compacto,2005,manual,60,125600,gasolina,ford,nao
57114,kombi,2005,manual,140,150000,diesel,audi,nao
37991,compacto,2014,manual,99,50300,gasolina,outra,nao
66813,limousine,2011,automatica,231,150200,diesel,mercedes_benz,nao
97888,compacto,2010,manual,76,125200,gasolina,renault,nao
13206,limousine,2004,manual,115,125100,gasolina,bmw,nao
5399,carrinha,2012,manual,102,70700,diesel,volkswagen,nao
79147,limousine,2012,automatica,156,51000,gasolina,outra,nao
27494,kombi,2002,manual,147,150700,gasolina,opel,nao
39822,limousine,2003,manual,170,150200,gasolina,outra,nao
80537,limousine,2007,manual,102,81000,gasolina,audi,nao
27200,cabrio,2006,automatica,163,150000,gasolina,mercedes_benz,nao
95517,kombi,2009,automatica,179,150500,diesel,audi,nao
44056,limousine,2010,manual,80,50200,gasolina,volkswagen,nao
42954,kombi,2005,manual,90,150700,diesel,peugeot,sim
68745,compacto,2002,manual,60,125900,gasolina,volkswagen,nao
42971,kombi,2011,automatica,170,150000,diesel,volkswagen,nao
6883,compacto,2007,manual,77,125600,diesel,renault,nao
44641,compacto,2000,automatica,54,125000,gasolina,outra,nao
11883,coupe,2002,manual,120,150100,gasolina,outra,nao
48354,kombi,2012,manual,105,50900,gasolina,volkswagen,nao
54568,compacto,2000,manual,90,150400,diesel,volkswagen,nao
99178,carrinha,2013,automatica,200,60600,diesel,ford,nao
20683,limousine,2003,manual,163,150900,gasolina,mercedes_benz,nao
3760,coupe,2010,automatica,200,125700,gasolina,volkswagen,nao
82870,compacto,2010,manual,61,70300,gasolina,outra,nao
41843,kombi,2004,manual,100,150200,diesel,outra,sim
31149,limousine,2007,manual,163,150900,diesel,bmw,sim
90750,limousine,2004,automatica,193,150900,gasolina,volkswagen,nao
17145,limousine,2006,manual,170,150900,gasolina,outra,nao
59831,compacto,2012,manual,69,50600,gasolina,outra,nao
35603,cabrio,2000,automatica,193,126000,gasolina,mercedes_benz,nao
8811,suv,2010,manual,150,80500,gasolina,volkswagen,nao
88787,cabrio,2005,manual,110,100100,gasolina,outra,nao
58921,cabrio,2011,manual,90,80000,gasolina,opel,nao
32557,limousine,2008,manual,140,150500,diesel,audi,nao
65940,limousine,2001,manual,75,150900,gasolina,volkswagen,nao
98099,suv,2011,manual,136,70600,diesel,ford,nao
97462,kombi,2012,automatica,143,151000,diesel,volkswagen,nao
5004,suv,2008,automatica,224,125900,diesel,mercedes_benz,nao
54093,limousine,2006,automatica,231,125300,gasolina,mercedes_benz,nao
5003,carrinha,2014,automatica,140,70100,diesel,ford,nao
66515,compacto,2005,manual,58,125000,gasolina,renault,nao
53903,compacto,2001,manual,50,150900,gasolina,volkswagen,nao
56832,compacto,2002,manual,75,150800,gasolina,audi,nao
6676,kombi,2003,manual,129,150000,gasolina,mercedes_benz,nao
73495,compacto,2008,manual,68,150100,diesel,renault,nao
16109,suv,2002,manual,122,150000,diesel,outra,nao
42736,kombi,2014,manual,184,60800,diesel,volkswagen,nao
20221,limousine,2009,manual,120,125000,gasolina,fiat,nao
68304,suv,2007,automatica,140,150200,diesel,outra,nao
92692,compacto,2001,manual,80,150200,gasolina,fiat,nao
6451,compacto,2003,manual,75,125200,gasolina,renault,nao
69761,compacto,2004,manual,60,100000,gasolina,volkswagen,nao
10978,limousine,2004,automatica,204,150100,diesel,mercedes_benz,nao
31454,compacto,2009,manual,60,125000,gasolina,volkswagen,nao
15486,carrinha,2012,manual,150,91000,gasolina,volkswagen,sim
51920,kombi,2008,automatica,140,150000,diesel,volkswagen,nao
16263,cabrio,2009,manual,126,70800,gasolina,outra,nao
57877,carrinha,2012,manual,102,125500,diesel,volkswagen,nao
73183,carrinha,2007,manual,105,150500,diesel,volkswagen,nao
36592,compacto,2000,manual,60,70400,gasolina,ford,sim
85092,kombi,2000,manual,150,150400,outro,outra,nao
61012,compacto,2002,automatica,60,50400,gasolina,outra,nao
62706,kombi,2004,manual,135,150200,diesel,opel,sim
88758,limousine,2000,automatica,150,150100,gasolina,audi,nao
75184,cabrio,2009,automatica,140,150300,diesel,audi,nao
88918,carrinha,2000,automatica,102,150000,diesel,volkswagen,nao
18939,kombi,2013,manual,170,50100,diesel,outra,nao
58375,carrinha,2007,manual,131,150200,diesel,ford,nao
41480,compacto,2011,manual,58,125400,gasolina,renault,nao
85128,suv,2009,manual,141,150600,gasolina,outra,nao
33411,carrinha,2011,manual,150,80900,diesel,peugeot,nao
61264,carrinha,2006,manual,90,125800,diesel,ford,nao
44493,kombi,2005,manual,170,151000,gasolina,bmw,nao
41254,limousine,2003,manual,105,126000,gasolina,outra,nao
65312,cabrio,2004,manual,170,90100,gasolina,audi,nao
64696,kombi,2006,manual,135,125600,gasolina,renault,nao
53366,compacto,2009,manual,54,125700,gasolina,fiat,nao
48710,kombi,2004,automatica,150,150200,diesel,mercedes_benz,nao
27269,cabrio,2005,automatica,82,100100,gasolina,outra,nao
8961,compacto,2006,manual,58,125300,gasolina,outra,nao
45062,limousine,2004,manual,170,150600,gasolina,bmw,nao
29745,limousine,2005,manual,102,150800,gasolina,volkswagen,nao
66595,carrinha,2005,manual,101,90300,gasolina,opel,nao
96820,kombi,2007,manual,105,150000,diesel,volkswagen,nao
63511,limousine,2008,automatica,224,125000,diesel,mercedes_benz,nao
55649,limousine,2003,manual,136,150900,diesel,bmw,nao
47733,cabrio,2005,manual,109,150100,gasolina,peugeot,nao
71378,compacto,2004,manual,50,80400,gasolina,volkswagen,sim
35413,limousine,2010,automatica,170,125400,diesel,volkswagen,nao
40886,kombi,2005,manual,140,150800,diesel,volkswagen,nao
22357,cabrio,2009,manual,170,100200,gasolina,bmw,nao
69558,carrinha,2002,automatica,147,150900,gasolina,outra,nao
52893,compacto,2000,manual,60,150900,gasolina,volkswagen,sim
44858,compacto,2001,manual,50,125100,gasolina,volkswagen,sim
8460,compacto,2007,manual,54,150900,gasolina,volkswagen,nao
98415,compacto,2007,manual,116,150000,gasolina,outra,nao
87133,carrinha,2001,manual,115,150500,gasolina,opel,nao
24997,kombi,2010,manual,120,125500,gasolina,audi,nao
8295,kombi,2002,manual,108,150300,gasolina,outra,sim
67116,kombi,2003,manual,179,150300,diesel,audi,nao
72906,limousine,2009,manual,143,125400,gasolina,bmw,nao
32131,kombi,2006,manual,155,90800,gasolina,opel,nao
51681,limousine,2004,manual,102,151000,gasolina,audi,nao
86828,carrinha,2011,manual,140,70700,diesel,volkswagen,nao
14747,carrinha,2007,manual,114,151000,diesel,renault,nao
35731,limousine,2003,manual,116,150400,gasolina,bmw,nao
13379,carrinha,2012,manual,105,150200,diesel,volkswagen,nao
31414,kombi,2006,manual,120,150000,diesel,opel,nao
12321,limousine,2008,automatica,231,150300,diesel,bmw,nao
53286,cabrio,2002,manual,109,150800,gasolina,peugeot,nao
78041,carrinha,2004,manual,101,150200,gasolina,opel,nao
87558,limousine,2000,manual,125,151000,gasolina,outra,nao
57347,kombi,2012,automatica,160,90800,diesel,opel,nao
57588,carrinha,2001,manual,116,150800,gasolina,opel,sim
16053,kombi,2013,manual,163,125700,diesel,outra,nao
66772,kombi,2006,manual,140,150400,diesel,audi,nao
1082,kombi,2007,manual,170,150500,diesel,volkswagen,nao
30072,cabrio,2002,manual,170,150800,gasolina,bmw,nao
2370,suv,2007,manual,86,91000,gasolina,outra,nao
94236,compacto,2003,manual,75,125300,gasolina,renault,nao
9277,carrinha,2009,manual,140,100100,gasolina,volkswagen,nao
94618,cabrio,2004,manual,170,151000,gasolina,audi,nao
8451,cabrio,2007,manual,218,80800,gasolina,bmw,nao
54447,limousine,2000,manual,150,150800,gasolina,audi,nao
61863,carrinha,2009,manual,77,80000,gasolina,fiat,nao
3138,coupe,2011,manual,179,60900,gasolina,audi,nao
49826,limousine,2000,manual,90,150600,diesel,volkswagen,nao
92566,compacto,2001,manual,65,150000,gasolina,opel,nao
39403,limousine,2004,manual,101,150100,outro,audi,nao
38208,suv,2006,manual,150,151000,diesel,bmw,nao
97159,cabrio,2001,manual,220,50700,gasolina,outra,nao
73216,limousine,2013,manual,86,40100,gasolina,volkswagen,nao
28048,carrinha,2006,manual,109,151000,diesel,outra,nao
18796,compacto,2010,manual,103,71000,gasolina,outra,nao
27038,compacto,2003,manual,56,150600,gasolina,opel,nao
35350,limousine,2007,manual,122,151000,diesel,bmw,nao
57081,limousine,2008,automatica,177,40200,diesel,bmw,nao
25101,limousine,2010,manual,122,126000,gasolina,bmw,nao
43319,cabrio,2014,automatica,71,50900,gasolina,outra,nao
53155,suv,2006,manual,150,150500,diesel,bmw,nao
90823,compacto,2012,automatica,122,51000,gasolina,outra,nao
48088,cabrio,2001,manual,55,126000,gasolina,opel,nao
88055,limousine,2002,manual,101,100100,gasolina,ford,nao
36798,kombi,2004,manual,116,150100,gasolina,outra,sim
53947,cabrio,2002,automatica,170,150200,gasolina,bmw,nao
66349,compacto,2007,manual,67,80800,gasolina,outra,nao
20507,cabrio,2006,manual,125,125300,gasolina,opel,nao
48215,carrinha,2000,manual,174,30200,gasolina,volkswagen,nao
75826,kombi,2006,automatica,150,150100,diesel,mercedes_benz,nao
24464,compacto,2005,manual,58,90100,gasolina,renault,nao
13079,limousine,2002,manual,75,100600,gasolina,outra,sim
42634,cabrio,2005,manual,136,125800,gasolina,outra,nao
34581,compacto,2006,manual,73,126000,gasolina,outra,nao
82832,limousine,2003,manual,116,150900,diesel,ford,nao
19490,limousine,2003,manual,116,150500,diesel,ford,nao
47933,kombi,2003,manual,85,150400,diesel,ford,nao
44170,carrinha,2009,manual,109,125600,diesel,mercedes_benz,nao
99399,kombi,2001,manual,101,150900,gasolina,ford,sim
85881,carrinha,2005,manual,131,150300,diesel,volkswagen,nao
88183,cabrio,2002,manual,224,150900,gasolina,audi,nao
59356,kombi,2002,manual,136,150800,diesel,bmw,nao
67276,compacto,2009,manual,92,70500,gasolina,outra,nao
