id,tipo,ano_registo,caixa,potencia,km,combustivel,marca,com_danos,preco
87036,limousine,2009,automatica,286,150000,diesel,bmw,nao,17540
42788,limousine,2002,manual,101,150500,gasolina,opel,nao,1990
43811,carrinha,2010,automatica,140,150100,diesel,volkswagen,nao,11020
32724,kombi,2002,manual,102,150900,gasolina,volkswagen,nao,3190
82149,limousine,2008,automatica,224,150000,diesel,mercedes_benz,nao,12010
38601,compacto,2008,manual,67,125900,gasolina,outra,nao,3150
33584,limousine,2001,manual,105,150700,gasolina,bmw,nao,10
39223,compacto,2004,manual,55,125200,gasolina,outra,sim,460
71140,coupe,2015,automatica,180,30500,gasolina,outra,nao,20040
44502,kombi,2008,manual,140,150300,diesel,audi,nao,11000
66582,kombi,2007,manual,109,150600,diesel,ford,nao,3579
65028,compacto,2004,manual,75,150500,diesel,volkswagen,sim,1938
75688,kombi,2006,manual,150,150600,diesel,bmw,nao,4270
60996,carrinha,2013,automatica,224,90000,diesel,mercedes_benz,nao,31990
42109,compacto,2001,manual,75,151000,gasolina,peugeot,nao,1399
42863,kombi,2001,automatica,197,150300,diesel,mercedes_benz,sim,1580
98638,limousine,2001,manual,75,150000,gasolina,outra,nao,1530
84626,limousine,2007,automatica,77,150800,outro,outra,nao,6910
63725,cabrio,2006,manual,231,40700,gasolina,mercedes_benz,nao,16790
55946,suv,2009,automatica,171,70500,diesel,outra,nao,6550
20582,limousine,2002,manual,75,150400,gasolina,volkswagen,nao,1310
23199,kombi,2004,manual,107,150600,diesel,peugeot,nao,1600
55741,cabrio,2007,manual,109,150600,gasolina,peugeot,nao,2530
36559,coupe,2010,manual,245,100300,gasolina,outra,nao,24920
85005,compacto,2009,manual,69,90400,gasolina,ford,nao,2910
84676,suv,2005,manual,84,125400,gasolina,outra,nao,900
97711,kombi,2000,manual,101,150400,gasolina,opel,nao,1039
72785,kombi,2013,automatica,204,125200,diesel,audi,nao,22750
82288,limousine,2000,manual,116,151000,gasolina,volkswagen,nao,3010
13305,compacto,2014,manual,82,30800,gasolina,ford,nao,10850
85103,compacto,2007,manual,75,100700,gasolina,renault,sim,2200
10351,limousine,2004,automatica,218,150900,diesel,bmw,nao,6090
65638,limousine,2002,manual,116,150400,gasolina,bmw,nao,2549
85227,compacto,2010,manual,68,100600,gasolina,outra,nao,3650
50672,carrinha,2001,manual,151,150400,diesel,volkswagen,nao,9560
8552,kombi,2004,manual,122,151000,diesel,mercedes_benz,nao,4010
39861,kombi,2005,automatica,131,150700,gasolina,audi,nao,5540
6896,coupe,2010,automatica,170,150600,diesel,volkswagen,nao,16230
52763,kombi,2010,automatica,290,150000,gasolina,audi,nao,18080
66062,suv,2007,automatica,350,125600,gasolina,audi,nao,29500
56671,compacto,2009,manual,69,101000,gasolina,fiat,nao,5645
36505,kombi,2004,manual,101,150100,diesel,volkswagen,nao,2270
24634,limousine,2003,manual,75,150000,gasolina,opel,sim,1390
65062,kombi,2006,manual,101,150500,diesel,volkswagen,nao,2960
70500,limousine,2004,manual,150,150700,diesel,volkswagen,nao,5590
42799,compacto,2006,manual,101,125600,gasolina,ford,sim,2970
42679,limousine,2000,manual,75,150900,gasolina,opel,nao,825
92228,limousine,2004,automatica,306,150900,gasolina,mercedes_benz,nao,11040
67788,limousine,2003,automatica,150,150600,diesel,mercedes_benz,nao,5190
75960,kombi,2007,manual,116,150400,gasolina,outra,nao,2999
58753,compacto,2007,manual,111,125600,gasolina,renault,nao,2810
95225,cabrio,2000,manual,75,150700,gasolina,opel,nao,1300
71099,compacto,2005,manual,170,150000,diesel,volkswagen,nao,4760
20828,limousine,2008,automatica,231,70500,diesel,volkswagen,nao,16800
24249,limousine,2005,manual,116,125000,gasolina,bmw,nao,7490
44319,suv,2000,manual,125,150000,diesel,outra,nao,2840
6140,kombi,2014,automatica,143,90800,diesel,audi,nao,29999
95098,cabrio,2006,manual,109,150500,gasolina,peugeot,nao,3280
54085,compacto,2008,manual,111,101000,gasolina,renault,nao,4549
72486,limousine,2001,automatica,115,125900,gasolina,renault,nao,920
9551,kombi,2011,manual,160,150300,gasolina,audi,nao,14030
22567,compacto,2001,manual,75,150100,gasolina,opel,nao,669
69665,limousine,2002,automatica,193,150200,diesel,bmw,nao,2040
49811,compacto,2000,manual,54,125000,gasolina,opel,nao,1040
66553,limousine,2004,automatica,143,150900,diesel,mercedes_benz,nao,6069
61505,kombi,2004,manual,98,150800,gasolina,renault,nao,2520
78720,limousine,2001,manual,101,150700,gasolina,opel,sim,829
51564,coupe,2009,manual,184,150000,gasolina,mercedes_benz,nao,8850
34699,suv,2007,automatica,224,150300,diesel,mercedes_benz,nao,13550
55276,carrinha,2006,manual,69,60800,diesel,opel,nao,2350
35885,limousine,2008,manual,116,100600,gasolina,mercedes_benz,nao,5850
99976,cabrio,2007,manual,109,60400,gasolina,peugeot,nao,6200
59494,compacto,2002,manual,60,125700,gasolina,ford,nao,430
58420,compacto,2007,manual,58,125400,gasolina,renault,nao,2840
97239,limousine,2009,manual,143,150500,diesel,bmw,nao,8950
21978,limousine,2008,manual,140,150900,diesel,volkswagen,nao,8210
97761,kombi,2011,manual,69,50800,gasolina,outra,nao,8470
94658,limousine,2001,manual,82,125000,gasolina,mercedes_benz,nao,2300
96609,kombi,2009,automatica,235,151000,diesel,bmw,nao,19580
50079,limousine,2003,automatica,170,150700,gasolina,audi,nao,3760
55420,compacto,2007,manual,101,150600,diesel,volkswagen,nao,3209
95733,coupe,2008,manual,122,125000,diesel,mercedes_benz,nao,8019
11280,kombi,2002,manual,101,150800,gasolina,opel,nao,2360
20225,compacto,2008,manual,50,151000,gasolina,outra,nao,1900
42614,limousine,2002,manual,143,150800,diesel,mercedes_benz,sim,3978
44721,kombi,2013,automatica,105,70000,diesel,volkswagen,nao,13280
81606,carrinha,2004,automatica,129,150200,diesel,mercedes_benz,nao,5820
69146,compacto,2015,manual,60,40100,gasolina,outra,nao,7720
63231,kombi,2003,automatica,340,150100,gasolina,audi,nao,6800
21188,kombi,2002,manual,125,150300,gasolina,ford,nao,1180
24499,compacto,2009,manual,60,125200,gasolina,volkswagen,nao,4460
32870,limousine,2009,manual,105,100400,diesel,audi,nao,8999
93849,limousine,2005,automatica,177,150700,diesel,mercedes_benz,nao,7200
14166,coupe,2006,manual,90,150400,gasolina,outra,nao,3680
60917,kombi,2010,manual,163,150300,diesel,bmw,nao,70
65086,limousine,2007,manual,82,150900,diesel,mercedes_benz,nao,4350
4338,compacto,2008,manual,80,100000,gasolina,opel,nao,3910
58673,suv,2009,manual,140,150000,diesel,volkswagen,nao,15490
21573,kombi,2007,automatica,177,125600,diesel,bmw,nao,12000
56794,limousine,2014,automatica,230,40500,gasolina,volkswagen,nao,28000
64040,limousine,2005,manual,102,150600,gasolina,audi,nao,4810
12874,cabrio,2001,manual,90,150100,gasolina,volkswagen,nao,2210
97726,kombi,2012,automatica,156,30700,gasolina,mercedes_benz,nao,10820
37412,kombi,2012,manual,131,125900,diesel,renault,nao,8020
14791,kombi,2003,manual,131,151000,diesel,volkswagen,nao,2560
17935,suv,2010,automatica,224,125200,diesel,mercedes_benz,nao,13080
463,limousine,2003,manual,101,125400,gasolina,outra,nao,1800
12841,cabrio,2005,manual,170,125700,gasolina,bmw,nao,9840
56720,suv,2007,automatica,273,125600,gasolina,mercedes_benz,nao,17440
8455,kombi,2001,manual,141,150400,gasolina,outra,nao,1800
5383,compacto,2005,manual,75,150800,gasolina,outra,nao,1770
72504,kombi,2004,automatica,131,125900,gasolina,audi,nao,5340
45434,carrinha,2007,manual,97,150400,outro,opel,nao,3550
6997,kombi,2012,manual,160,151000,diesel,opel,nao,10080
71901,limousine,2007,manual,75,100100,gasolina,volkswagen,nao,5930
5625,limousine,2015,manual,86,20000,gasolina,volkswagen,nao,12860
77146,suv,2014,manual,86,20800,gasolina,outra,sim,9510
39039,kombi,2009,manual,136,150100,diesel,outra,nao,8918
34297,cabrio,2004,automatica,298,150100,gasolina,outra,nao,19940
29370,compacto,2006,manual,69,100400,gasolina,ford,nao,2899
54161,compacto,2003,manual,80,150200,gasolina,ford,nao,710
57515,compacto,2005,manual,75,150400,gasolina,opel,nao,1110
20790,limousine,2003,manual,97,125700,gasolina,outra,nao,2940
45933,outro,2014,manual,87,40200,gasolina,opel,nao,8990
62006,carrinha,2002,manual,129,150500,diesel,renault,sim,1070
10572,compacto,2003,manual,101,150700,diesel,volkswagen,nao,3330
79906,compacto,2013,manual,82,150700,gasolina,ford,nao,4780
38608,coupe,2012,manual,408,70300,gasolina,outra,nao,105070
39371,compacto,2003,manual,60,150700,gasolina,outra,nao,660
52827,limousine,2010,manual,102,50200,gasolina,outra,nao,6360
85152,suv,2015,manual,150,30600,diesel,outra,nao,34009
53056,limousine,2009,manual,90,150900,gasolina,outra,nao,690
75801,limousine,2004,manual,109,125000,gasolina,peugeot,nao,3040
69025,compacto,2010,manual,60,20500,gasolina,volkswagen,nao,6999
96859,kombi,2005,manual,136,150900,diesel,peugeot,nao,4010
34276,compacto,2010,manual,95,40400,gasolina,outra,nao,9960
8171,limousine,2010,manual,125,150600,gasolina,outra,nao,6550
70292,cabrio,2009,automatica,179,125500,diesel,outra,nao,16080
44017,limousine,2006,automatica,140,150600,diesel,audi,nao,8559
21211,limousine,2009,automatica,230,125600,gasolina,volkswagen,nao,13850
81273,kombi,2000,manual,131,150500,gasolina,ford,sim,650
49898,kombi,2012,manual,184,150200,diesel,bmw,nao,17540
99434,kombi,2000,manual,125,150100,gasolina,audi,nao,2250
61662,carrinha,2000,manual,116,150800,outro,opel,nao,1200
88196,kombi,2004,automatica,300,90600,gasolina,outra,nao,14539
88273,kombi,2007,manual,105,150400,diesel,volkswagen,nao,3620
48493,compacto,2007,manual,54,150700,gasolina,volkswagen,sim,1000
84351,limousine,2000,manual,90,150900,diesel,volkswagen,nao,1520
65693,kombi,2007,manual,140,151000,diesel,audi,nao,7020
30477,limousine,2009,automatica,231,100800,gasolina,mercedes_benz,nao,15040
90590,kombi,2001,manual,140,150100,gasolina,outra,nao,1470
42139,compacto,2002,manual,50,125400,gasolina,volkswagen,nao,1680
87312,compacto,2004,manual,75,150800,gasolina,renault,nao,1320
98629,limousine,2012,automatica,235,61000,gasolina,volkswagen,nao,18950
23319,limousine,2015,manual,150,50300,diesel,volkswagen,nao,19240
28264,carrinha,2001,manual,68,151000,diesel,volkswagen,nao,6490
94720,compacto,2004,manual,58,150300,gasolina,renault,nao,2610
47726,kombi,2006,manual,120,150200,diesel,opel,nao,3730
83135,limousine,2001,manual,105,150000,gasolina,bmw,nao,2600
37678,limousine,2010,manual,140,91000,gasolina,bmw,nao,15380
99165,kombi,2000,manual,90,150500,diesel,outra,nao,1810
56964,compacto,2000,manual,54,150000,gasolina,outra,nao,610
73081,limousine,2003,manual,150,151000,gasolina,volkswagen,nao,4710
72744,compacto,2007,manual,58,60700,gasolina,renault,nao,3310
76438,kombi,2007,manual,170,150700,diesel,volkswagen,nao,5490
31868,limousine,2008,manual,209,150700,gasolina,opel,nao,5520
17255,limousine,2002,automatica,286,150600,gasolina,bmw,nao,6130
10870,limousine,2016,manual,86,10600,gasolina,volkswagen,nao,14520
44439,carrinha,2010,manual,140,125100,gasolina,volkswagen,nao,10040
20477,kombi,2003,manual,250,150400,gasolina,audi,sim,2419
32062,limousine,2008,manual,170,150100,diesel,volkswagen,nao,8499
38106,carrinha,2011,manual,90,125600,outro,outra,nao,6039
94049,kombi,2008,manual,101,150100,diesel,opel,nao,3830
80275,kombi,2005,automatica,163,150300,diesel,audi,nao,2770
64197,limousine,2001,manual,118,125900,gasolina,bmw,nao,3080
48366,coupe,2006,manual,150,150100,diesel,bmw,nao,6040
65009,kombi,2008,automatica,163,150300,diesel,bmw,nao,9059
92833,kombi,2008,automatica,232,125900,diesel,audi,nao,15970
7240,limousine,2005,manual,116,50800,gasolina,bmw,nao,7060
70321,limousine,2000,manual,118,150900,gasolina,bmw,nao,2570
11604,compacto,2011,manual,86,125100,gasolina,outra,nao,5189
49689,limousine,2006,manual,105,100500,gasolina,opel,nao,3420
73376,limousine,2005,manual,170,150100,gasolina,bmw,nao,7570
41309,kombi,2001,automatica,163,150400,gasolina,mercedes_benz,nao,2990
2115,kombi,2006,manual,139,150300,diesel,renault,nao,2079
20190,compacto,2004,manual,68,150800,diesel,ford,sim,800
63637,cabrio,2005,manual,110,150000,gasolina,outra,nao,4960
77098,compacto,2003,manual,75,150000,diesel,volkswagen,nao,2449
25381,cabrio,2012,automatica,71,60400,gasolina,outra,nao,6709
68100,compacto,2000,manual,60,125700,gasolina,ford,nao,940
13760,carrinha,2013,manual,140,91000,diesel,volkswagen,nao,17720
75449,cabrio,2001,manual,170,150900,gasolina,bmw,nao,6169
58860,limousine,2006,manual,88,125900,gasolina,peugeot,nao,3440
79107,suv,2009,automatica,239,150600,diesel,volkswagen,nao,17310
68970,coupe,2003,manual,143,150900,diesel,mercedes_benz,nao,2280
21814,compacto,2007,manual,75,80900,gasolina,renault,nao,2310
61035,limousine,2002,automatica,143,150500,diesel,mercedes_benz,nao,3019
68973,kombi,2012,manual,105,150000,diesel,volkswagen,nao,9780
35781,kombi,2001,manual,101,150100,gasolina,opel,nao,1710
79664,limousine,2005,manual,166,150700,gasolina,outra,nao,3889
68812,compacto,2010,manual,54,80000,gasolina,fiat,nao,3210
96722,cabrio,2009,manual,122,80700,gasolina,volkswagen,nao,8830
75115,kombi,2003,automatica,184,151000,diesel,bmw,nao,4080
60007,compacto,2014,manual,86,80700,gasolina,outra,sim,8620
33569,compacto,2009,manual,69,150500,gasolina,fiat,nao,4590
70750,limousine,2002,manual,105,150000,gasolina,bmw,nao,2719
60302,compacto,2007,automatica,77,150200,outro,fiat,nao,3090
55263,kombi,2008,manual,145,125600,gasolina,ford,nao,7880
33298,limousine,2006,manual,75,90800,gasolina,volkswagen,nao,5539
64094,cabrio,2009,manual,126,20400,gasolina,outra,nao,13520
7706,limousine,2004,manual,75,150000,gasolina,outra,nao,2050
18565,limousine,2003,manual,170,151000,gasolina,volkswagen,nao,3560
78767,limousine,2004,manual,150,150400,gasolina,audi,nao,2550
4317,compacto,2003,manual,60,125500,gasolina,volkswagen,nao,1660
63627,limousine,2008,manual,122,100500,gasolina,outra,nao,4340
88528,compacto,2002,manual,58,150200,gasolina,opel,nao,1410
79480,limousine,2014,manual,105,40300,gasolina,volkswagen,nao,12049
87807,compacto,2008,manual,54,90000,gasolina,volkswagen,nao,4339
44974,kombi,2009,automatica,170,150800,diesel,volkswagen,nao,8880
20313,cabrio,2010,manual,122,90300,gasolina,volkswagen,sim,10059
50470,limousine,2013,manual,150,70100,diesel,audi,nao,18700
13317,compacto,2009,manual,95,90100,gasolina,outra,nao,7800
1567,compacto,2007,manual,68,150400,diesel,peugeot,nao,2210
87581,carrinha,2001,manual,103,150000,gasolina,fiat,nao,790
53033,kombi,2003,automatica,131,150200,diesel,ford,nao,820
14156,limousine,2003,manual,211,150400,gasolina,opel,nao,3890
59796,limousine,2004,manual,115,151000,gasolina,bmw,nao,3800
20518,kombi,2007,automatica,232,150900,diesel,audi,nao,11760
16827,kombi,2007,automatica,140,150600,diesel,volkswagen,nao,6280
55577,limousine,2012,manual,105,150100,diesel,volkswagen,nao,8009
14774,compacto,2003,manual,54,150200,gasolina,volkswagen,nao,1940
47278,limousine,2014,manual,105,91000,diesel,volkswagen,nao,13000
30230,limousine,2009,manual,122,150700,gasolina,bmw,nao,7430
35301,limousine,2009,manual,106,150100,diesel,outra,sim,5930
36031,limousine,2015,manual,105,90500,diesel,volkswagen,nao,11500
1348,limousine,2013,manual,90,40800,diesel,volkswagen,nao,9370
8093,compacto,2008,manual,54,90200,gasolina,volkswagen,nao,3440
28908,limousine,2003,manual,116,125900,gasolina,bmw,nao,2000
25627,compacto,2001,manual,60,150100,gasolina,fiat,sim,570
65534,kombi,2008,manual,163,150000,diesel,bmw,nao,9950
85156,compacto,2004,manual,110,150900,gasolina,audi,nao,5080
71215,limousine,2002,manual,163,125000,gasolina,mercedes_benz,nao,3020
54679,carrinha,2009,manual,85,150400,outro,opel,nao,4910
8769,suv,2011,manual,173,60700,diesel,outra,nao,16940
76644,compacto,2003,automatica,60,125000,gasolina,outra,nao,1750
31951,kombi,2007,manual,140,150000,diesel,volkswagen,sim,3560
43063,kombi,2005,manual,116,150500,diesel,ford,nao,2770
